text,category
movie ticket Rs 1000,entertainment
bonus Rs 300,income
medicine Rs 100,health
fuel Rs 300,transport
doctor visit Rs 2000,health
netflix Rs 1000,entertainment
burger Rs 500,food
taxi Rs 50,transport
electricity bill Rs 100,utilities
water bill Rs 500,utilities
shoes Rs 1000,shopping
movie ticket Rs 300,entertainment
netflix Rs 5000,entertainment
pathao ride Rs 100,transport
pharmacy Rs 5000,health
indrive Rs 500,transport
medicine Rs 2000,health
momo Rs 5000,food
indrive Rs 500,transport
taxi Rs 1000,transport
books Rs 500,education
restaurant Rs 2000,food
college fee Rs 100,education
hospital bill Rs 1000,health
medicine Rs 300,health
games Rs 50,entertainment
salary credited Rs 50,income
tuition Rs 50,education
doctor visit Rs 500,health
gadget Rs 300,shopping
college fee Rs 200,education
freelance payment Rs 100,income
esewa payment Rs 2000,utilities
freelance payment Rs 100,income
petrol Rs 5000,transport
books Rs 5000,education
doctor visit Rs 500,health
daraz order Rs 500,shopping
gadget Rs 500,shopping
khalti payment Rs 2000,utilities
spotify Rs 5000,entertainment
clothes Rs 2000,shopping
medicine Rs 500,health
restaurant Rs 100,food
daraz order Rs 50,shopping
course payment Rs 1000,education
books Rs 50,education
daraz order Rs 100,shopping
hospital bill Rs 50,health
pharmacy Rs 300,health
fuel Rs 500,transport
netflix Rs 200,entertainment
daraz order Rs 100,shopping
netflix Rs 100,entertainment
gadget Rs 500,shopping
bonus Rs 1000,income
medicine Rs 1000,health
fuel Rs 300,transport
tuition Rs 1000,education
books Rs 300,education
games Rs 1000,entertainment
books Rs 300,education
indrive Rs 200,transport
water bill Rs 2000,utilities
restaurant Rs 500,food
movie ticket Rs 2000,entertainment
client payment Rs 500,income
bonus Rs 2000,income
client payment Rs 5000,income
course payment Rs 300,education
client payment Rs 500,income
tea Rs 200,food
doctor visit Rs 300,health
momo Rs 50,food
spotify Rs 1000,entertainment
coffee Rs 1000,food
course payment Rs 500,education
hospital bill Rs 200,health
bonus Rs 50,income
books Rs 300,education
esewa payment Rs 1000,utilities
petrol Rs 300,transport
gadget Rs 100,shopping
wifi recharge Rs 5000,utilities
course payment Rs 5000,education
salary credited Rs 2000,income
bus ticket Rs 500,transport
spotify Rs 2000,entertainment
taxi Rs 1000,transport
hospital bill Rs 5000,health
indrive Rs 300,transport
freelance payment Rs 2000,income
bonus Rs 2000,income
college fee Rs 100,education
esewa payment Rs 50,utilities
pharmacy Rs 100,health
salary credited Rs 100,income
books Rs 50,education
books Rs 100,education
khalti payment Rs 100,utilities
electronics Rs 200,shopping
pathao ride Rs 1000,transport
electronics Rs 500,shopping
restaurant Rs 5000,food
water bill Rs 50,utilities
daraz order Rs 1000,shopping
medicine Rs 500,health
pathao ride Rs 5000,transport
coffee Rs 300,food
tuition Rs 1000,education
shoes Rs 300,shopping
coffee Rs 100,food
petrol Rs 50,transport
freelance payment Rs 500,income
movie ticket Rs 300,entertainment
bonus Rs 5000,income
college fee Rs 5000,education
movie ticket Rs 200,entertainment
gadget Rs 50,shopping
electronics Rs 100,shopping
movie ticket Rs 50,entertainment
tea Rs 300,food
salary credited Rs 300,income
electronics Rs 100,shopping
fuel Rs 1000,transport
pharmacy Rs 2000,health
gadget Rs 2000,shopping
restaurant Rs 100,food
college fee Rs 200,education
games Rs 100,entertainment
electricity bill Rs 300,utilities
bonus Rs 100,income
salary credited Rs 5000,income
fuel Rs 300,transport
netflix Rs 50,entertainment
college fee Rs 2000,education
chowmein Rs 1000,food
petrol Rs 1000,transport
netflix Rs 2000,entertainment
clothes Rs 2000,shopping
pizza Rs 5000,food
petrol Rs 500,transport
dal bhat Rs 500,food
esewa payment Rs 5000,utilities
course payment Rs 300,education
netflix Rs 5000,entertainment
movie ticket Rs 1000,entertainment
bonus Rs 1000,income
games Rs 100,entertainment
water bill Rs 1000,utilities
tea Rs 500,food
course payment Rs 500,education
college fee Rs 2000,education
freelance payment Rs 1000,income
petrol Rs 5000,transport
doctor visit Rs 50,health
chowmein Rs 500,food
chowmein Rs 5000,food
petrol Rs 50,transport
restaurant Rs 200,food
hospital bill Rs 200,health
petrol Rs 5000,transport
indrive Rs 1000,transport
water bill Rs 300,utilities
water bill Rs 100,utilities
indrive Rs 5000,transport
wifi recharge Rs 200,utilities
khalti payment Rs 50,utilities
burger Rs 100,food
games Rs 50,entertainment
freelance payment Rs 1000,income
bonus Rs 50,income
chowmein Rs 2000,food
spotify Rs 300,entertainment
khalti payment Rs 100,utilities
taxi Rs 2000,transport
client payment Rs 300,income
esewa payment Rs 1000,utilities
books Rs 100,education
indrive Rs 5000,transport
medicine Rs 1000,health
tuition Rs 300,education
daraz order Rs 1000,shopping
indrive Rs 300,transport
games Rs 200,entertainment
bus ticket Rs 2000,transport
wifi recharge Rs 50,utilities
doctor visit Rs 5000,health
daraz order Rs 300,shopping
restaurant Rs 50,food
taxi Rs 300,transport
netflix Rs 200,entertainment
fuel Rs 100,transport
petrol Rs 1000,transport
chowmein Rs 200,food
fuel Rs 5000,transport
medicine Rs 1000,health
client payment Rs 1000,income
pizza Rs 200,food
tuition Rs 500,education
doctor visit Rs 300,health
pathao ride Rs 100,transport
pharmacy Rs 200,health
freelance payment Rs 200,income
doctor visit Rs 200,health
client payment Rs 300,income
pizza Rs 200,food
salary credited Rs 500,income
course payment Rs 50,education
petrol Rs 5000,transport
medicine Rs 50,health
netflix Rs 200,entertainment
restaurant Rs 100,food
course payment Rs 5000,education
dal bhat Rs 500,food
esewa payment Rs 5000,utilities
doctor visit Rs 500,health
dal bhat Rs 50,food
freelance payment Rs 100,income
salary credited Rs 50,income
electronics Rs 200,shopping
college fee Rs 50,education
pharmacy Rs 200,health
electronics Rs 2000,shopping
course payment Rs 2000,education
pharmacy Rs 100,health
salary credited Rs 5000,income
bus ticket Rs 1000,transport
books Rs 300,education
doctor visit Rs 50,health
electronics Rs 2000,shopping
tuition Rs 500,education
hospital bill Rs 2000,health
khalti payment Rs 500,utilities
electronics Rs 2000,shopping
college fee Rs 500,education
clothes Rs 100,shopping
taxi Rs 500,transport
esewa payment Rs 500,utilities
books Rs 300,education
clothes Rs 200,shopping
esewa payment Rs 100,utilities
shoes Rs 200,shopping
movie ticket Rs 2000,entertainment
bus ticket Rs 200,transport
khalti payment Rs 500,utilities
client payment Rs 5000,income
netflix Rs 100,entertainment
doctor visit Rs 1000,health
indrive Rs 5000,transport
shoes Rs 100,shopping
movie ticket Rs 500,entertainment
water bill Rs 1000,utilities
esewa payment Rs 200,utilities
movie ticket Rs 1000,entertainment
wifi recharge Rs 100,utilities
spotify Rs 2000,entertainment
netflix Rs 1000,entertainment
college fee Rs 1000,education
college fee Rs 5000,education
gadget Rs 100,shopping
books Rs 50,education
water bill Rs 1000,utilities
pizza Rs 5000,food
hospital bill Rs 2000,health
momo Rs 100,food
electricity bill Rs 500,utilities
coffee Rs 5000,food
clothes Rs 5000,shopping
freelance payment Rs 500,income
taxi Rs 300,transport
pharmacy Rs 50,health
shoes Rs 50,shopping
pharmacy Rs 100,health
salary credited Rs 5000,income
water bill Rs 2000,utilities
shoes Rs 5000,shopping
college fee Rs 2000,education
bonus Rs 50,income
hospital bill Rs 50,health
daraz order Rs 2000,shopping
salary credited Rs 50,income
hospital bill Rs 5000,health
coffee Rs 1000,food
daraz order Rs 2000,shopping
dal bhat Rs 100,food
shoes Rs 1000,shopping
electronics Rs 50,shopping
restaurant Rs 300,food
burger Rs 50,food
esewa payment Rs 200,utilities
client payment Rs 50,income
games Rs 300,entertainment
esewa payment Rs 500,utilities
movie ticket Rs 50,entertainment
salary credited Rs 50,income
netflix Rs 1000,entertainment
course payment Rs 50,education
pizza Rs 300,food
netflix Rs 300,entertainment
coffee Rs 50,food
client payment Rs 1000,income
salary credited Rs 2000,income
hospital bill Rs 100,health
electronics Rs 5000,shopping
pharmacy Rs 1000,health
esewa payment Rs 5000,utilities
bonus Rs 1000,income
course payment Rs 50,education
fuel Rs 1000,transport
bus ticket Rs 500,transport
electricity bill Rs 500,utilities
netflix Rs 100,entertainment
salary credited Rs 2000,income
doctor visit Rs 200,health
clothes Rs 200,shopping
fuel Rs 2000,transport
dal bhat Rs 50,food
salary credited Rs 5000,income
medicine Rs 300,health
pharmacy Rs 200,health
medicine Rs 500,health
bonus Rs 500,income
bonus Rs 300,income
spotify Rs 1000,entertainment
burger Rs 5000,food
games Rs 2000,entertainment
course payment Rs 300,education
khalti payment Rs 100,utilities
taxi Rs 50,transport
hospital bill Rs 2000,health
coffee Rs 1000,food
movie ticket Rs 300,entertainment
daraz order Rs 1000,shopping
pharmacy Rs 2000,health
course payment Rs 1000,education
esewa payment Rs 50,utilities
pharmacy Rs 5000,health
college fee Rs 300,education
spotify Rs 500,entertainment
esewa payment Rs 2000,utilities
college fee Rs 2000,education
course payment Rs 500,education
daraz order Rs 2000,shopping
medicine Rs 50,health
doctor visit Rs 100,health
books Rs 50,education
netflix Rs 200,entertainment
fuel Rs 300,transport
doctor visit Rs 300,health
books Rs 100,education
electricity bill Rs 1000,utilities
spotify Rs 300,entertainment
gadget Rs 1000,shopping
tuition Rs 300,education
fuel Rs 2000,transport
electronics Rs 100,shopping
bonus Rs 200,income
daraz order Rs 100,shopping
electronics Rs 2000,shopping
spotify Rs 2000,entertainment
dal bhat Rs 50,food
momo Rs 300,food
client payment Rs 50,income
hospital bill Rs 5000,health
clothes Rs 5000,shopping
salary credited Rs 50,income
books Rs 100,education
esewa payment Rs 2000,utilities
freelance payment Rs 300,income
course payment Rs 500,education
tuition Rs 2000,education
tuition Rs 500,education
course payment Rs 5000,education
salary credited Rs 50,income
tuition Rs 300,education
gadget Rs 50,shopping
books Rs 300,education
gadget Rs 100,shopping
chowmein Rs 5000,food
coffee Rs 500,food
freelance payment Rs 500,income
netflix Rs 1000,entertainment
pizza Rs 500,food
shoes Rs 1000,shopping
daraz order Rs 300,shopping
pathao ride Rs 2000,transport
chowmein Rs 2000,food
chowmein Rs 1000,food
taxi Rs 500,transport
electronics Rs 100,shopping
electricity bill Rs 200,utilities
restaurant Rs 2000,food
movie ticket Rs 50,entertainment
esewa payment Rs 200,utilities
college fee Rs 300,education
spotify Rs 500,entertainment
freelance payment Rs 300,income
bus ticket Rs 1000,transport
daraz order Rs 5000,shopping
tuition Rs 5000,education
tuition Rs 500,education
freelance payment Rs 200,income
college fee Rs 2000,education
books Rs 200,education
movie ticket Rs 300,entertainment
college fee Rs 2000,education
electricity bill Rs 200,utilities
client payment Rs 2000,income
medicine Rs 300,health
burger Rs 5000,food
bonus Rs 500,income
tuition Rs 200,education
doctor visit Rs 300,health
salary credited Rs 5000,income
daraz order Rs 100,shopping
indrive Rs 100,transport
bonus Rs 100,income
hospital bill Rs 200,health
client payment Rs 5000,income
spotify Rs 50,entertainment
electronics Rs 2000,shopping
restaurant Rs 300,food
books Rs 50,education
bus ticket Rs 2000,transport
spotify Rs 5000,entertainment
esewa payment Rs 50,utilities
bonus Rs 5000,income
medicine Rs 1000,health
daraz order Rs 5000,shopping
course payment Rs 2000,education
spotify Rs 1000,entertainment
electricity bill Rs 200,utilities
books Rs 2000,education
tuition Rs 500,education
freelance payment Rs 300,income
daraz order Rs 2000,shopping
hospital bill Rs 2000,health
doctor visit Rs 1000,health
esewa payment Rs 500,utilities
fuel Rs 50,transport
khalti payment Rs 2000,utilities
water bill Rs 500,utilities
spotify Rs 100,entertainment
bonus Rs 500,income
tea Rs 5000,food
esewa payment Rs 5000,utilities
pizza Rs 50,food
clothes Rs 50,shopping
spotify Rs 5000,entertainment
dal bhat Rs 50,food
movie ticket Rs 500,entertainment
petrol Rs 2000,transport
shoes Rs 50,shopping
