text,category
movie ticket Rs 1000,Entertainment
bonus Rs 300,Salary/Income
medicine Rs 100,Healthcare
fuel Rs 300,Transportation
doctor visit Rs 2000,Healthcare
netflix Rs 1000,Entertainment
burger Rs 500,Food & Drinks
taxi Rs 50,Transportation
electricity bill Rs 100,Other
water bill Rs 500,Other
shoes Rs 1000,Shopping
movie ticket Rs 300,Entertainment
netflix Rs 5000,Entertainment
pathao ride Rs 100,Transportation
pharmacy Rs 5000,Healthcare
indrive Rs 500,Transportation
medicine Rs 2000,Healthcare
momo Rs 5000,Food & Drinks
indrive Rs 500,Transportation
taxi Rs 1000,Transportation
books Rs 500,Other
restaurant Rs 2000,Food & Drinks
college fee Rs 100,Other
hospital bill Rs 1000,Healthcare
medicine Rs 300,Healthcare
games Rs 50,Entertainment
salary credited Rs 50,Salary/Income
tuition Rs 50,Other
doctor visit Rs 500,Healthcare
gadget Rs 300,Shopping
college fee Rs 200,Other
freelance payment Rs 100,Salary/Income
esewa payment Rs 2000,Other
freelance payment Rs 100,Salary/Income
petrol Rs 5000,Transportation
books Rs 5000,Other
doctor visit Rs 500,Healthcare
daraz order Rs 500,Shopping
gadget Rs 500,Shopping
khalti payment Rs 2000,Other
spotify Rs 5000,Entertainment
clothes Rs 2000,Shopping
medicine Rs 500,Healthcare
restaurant Rs 100,Food & Drinks
daraz order Rs 50,Shopping
course payment Rs 1000,Other
books Rs 50,Other
daraz order Rs 100,Shopping
hospital bill Rs 50,Healthcare
pharmacy Rs 300,Healthcare
fuel Rs 500,Transportation
netflix Rs 200,Entertainment
daraz order Rs 100,Shopping
netflix Rs 100,Entertainment
gadget Rs 500,Shopping
bonus Rs 1000,Salary/Income
medicine Rs 1000,Healthcare
fuel Rs 300,Transportation
tuition Rs 1000,Other
books Rs 300,Other
games Rs 1000,Entertainment
books Rs 300,Other
indrive Rs 200,Transportation
water bill Rs 2000,Other
restaurant Rs 500,Food & Drinks
movie ticket Rs 2000,Entertainment
client payment Rs 500,Salary/Income
bonus Rs 2000,Salary/Income
client payment Rs 5000,Salary/Income
course payment Rs 300,Other
client payment Rs 500,Salary/Income
tea Rs 200,Food & Drinks
doctor visit Rs 300,Healthcare
momo Rs 50,Food & Drinks
spotify Rs 1000,Entertainment
coffee Rs 1000,Food & Drinks
course payment Rs 500,Other
hospital bill Rs 200,Healthcare
bonus Rs 50,Salary/Income
books Rs 300,Other
esewa payment Rs 1000,Other
petrol Rs 300,Transportation
gadget Rs 100,Shopping
wifi recharge Rs 5000,Other
course payment Rs 5000,Other
salary credited Rs 2000,Salary/Income
bus ticket Rs 500,Transportation
spotify Rs 2000,Entertainment
taxi Rs 1000,Transportation
hospital bill Rs 5000,Healthcare
indrive Rs 300,Transportation
freelance payment Rs 2000,Salary/Income
bonus Rs 2000,Salary/Income
college fee Rs 100,Other
esewa payment Rs 50,Other
pharmacy Rs 100,Healthcare
salary credited Rs 100,Salary/Income
books Rs 50,Other
books Rs 100,Other
khalti payment Rs 100,Other
electronics Rs 200,Shopping
pathao ride Rs 1000,Transportation
electronics Rs 500,Shopping
restaurant Rs 5000,Food & Drinks
water bill Rs 50,Other
daraz order Rs 1000,Shopping
medicine Rs 500,Healthcare
pathao ride Rs 5000,Transportation
coffee Rs 300,Food & Drinks
tuition Rs 1000,Other
shoes Rs 300,Shopping
coffee Rs 100,Food & Drinks
petrol Rs 50,Transportation
freelance payment Rs 500,Salary/Income
movie ticket Rs 300,Entertainment
bonus Rs 5000,Salary/Income
college fee Rs 5000,Other
movie ticket Rs 200,Entertainment
gadget Rs 50,Shopping
electronics Rs 100,Shopping
movie ticket Rs 50,Entertainment
tea Rs 300,Food & Drinks
salary credited Rs 300,Salary/Income
electronics Rs 100,Shopping
fuel Rs 1000,Transportation
pharmacy Rs 2000,Healthcare
gadget Rs 2000,Shopping
restaurant Rs 100,Food & Drinks
college fee Rs 200,Other
games Rs 100,Entertainment
electricity bill Rs 300,Other
bonus Rs 100,Salary/Income
salary credited Rs 5000,Salary/Income
fuel Rs 300,Transportation
netflix Rs 50,Entertainment
college fee Rs 2000,Other
chowmein Rs 1000,Food & Drinks
petrol Rs 1000,Transportation
netflix Rs 2000,Entertainment
clothes Rs 2000,Shopping
pizza Rs 5000,Food & Drinks
petrol Rs 500,Transportation
dal bhat Rs 500,Food & Drinks
esewa payment Rs 5000,Other
course payment Rs 300,Other
netflix Rs 5000,Entertainment
movie ticket Rs 1000,Entertainment
bonus Rs 1000,Salary/Income
games Rs 100,Entertainment
water bill Rs 1000,Other
tea Rs 500,Food & Drinks
course payment Rs 500,Other
college fee Rs 2000,Other
freelance payment Rs 1000,Salary/Income
petrol Rs 5000,Transportation
doctor visit Rs 50,Healthcare
chowmein Rs 500,Food & Drinks
chowmein Rs 5000,Food & Drinks
petrol Rs 50,Transportation
restaurant Rs 200,Food & Drinks
hospital bill Rs 200,Healthcare
petrol Rs 5000,Transportation
indrive Rs 1000,Transportation
water bill Rs 300,Other
water bill Rs 100,Other
indrive Rs 5000,Transportation
wifi recharge Rs 200,Other
khalti payment Rs 50,Other
burger Rs 100,Food & Drinks
games Rs 50,Entertainment
freelance payment Rs 1000,Salary/Income
bonus Rs 50,Salary/Income
chowmein Rs 2000,Food & Drinks
spotify Rs 300,Entertainment
khalti payment Rs 100,Other
taxi Rs 2000,Transportation
client payment Rs 300,Salary/Income
esewa payment Rs 1000,Other
books Rs 100,Other
indrive Rs 5000,Transportation
medicine Rs 1000,Healthcare
tuition Rs 300,Other
daraz order Rs 1000,Shopping
indrive Rs 300,Transportation
games Rs 200,Entertainment
bus ticket Rs 2000,Transportation
wifi recharge Rs 50,Other
doctor visit Rs 5000,Healthcare
daraz order Rs 300,Shopping
restaurant Rs 50,Food & Drinks
taxi Rs 300,Transportation
netflix Rs 200,Entertainment
fuel Rs 100,Transportation
petrol Rs 1000,Transportation
chowmein Rs 200,Food & Drinks
fuel Rs 5000,Transportation
medicine Rs 1000,Healthcare
client payment Rs 1000,Salary/Income
pizza Rs 200,Food & Drinks
tuition Rs 500,Other
doctor visit Rs 300,Healthcare
pathao ride Rs 100,Transportation
pharmacy Rs 200,Healthcare
freelance payment Rs 200,Salary/Income
doctor visit Rs 200,Healthcare
client payment Rs 300,Salary/Income
pizza Rs 200,Food & Drinks
salary credited Rs 500,Salary/Income
course payment Rs 50,Other
petrol Rs 5000,Transportation
medicine Rs 50,Healthcare
netflix Rs 200,Entertainment
restaurant Rs 100,Food & Drinks
course payment Rs 5000,Other
dal bhat Rs 500,Food & Drinks
esewa payment Rs 5000,Other
doctor visit Rs 500,Healthcare
dal bhat Rs 50,Food & Drinks
freelance payment Rs 100,Salary/Income
salary credited Rs 50,Salary/Income
electronics Rs 200,Shopping
college fee Rs 50,Other
pharmacy Rs 200,Healthcare
electronics Rs 2000,Shopping
course payment Rs 2000,Other
pharmacy Rs 100,Healthcare
salary credited Rs 5000,Salary/Income
bus ticket Rs 1000,Transportation
books Rs 300,Other
doctor visit Rs 50,Healthcare
electronics Rs 2000,Shopping
tuition Rs 500,Other
hospital bill Rs 2000,Healthcare
khalti payment Rs 500,Other
electronics Rs 2000,Shopping
college fee Rs 500,Other
clothes Rs 100,Shopping
taxi Rs 500,Transportation
esewa payment Rs 500,Other
books Rs 300,Other
clothes Rs 200,Shopping
esewa payment Rs 100,Other
shoes Rs 200,Shopping
movie ticket Rs 2000,Entertainment
bus ticket Rs 200,Transportation
khalti payment Rs 500,Other
client payment Rs 5000,Salary/Income
netflix Rs 100,Entertainment
doctor visit Rs 1000,Healthcare
indrive Rs 5000,Transportation
shoes Rs 100,Shopping
movie ticket Rs 500,Entertainment
water bill Rs 1000,Other
esewa payment Rs 200,Other
movie ticket Rs 1000,Entertainment
wifi recharge Rs 100,Other
spotify Rs 2000,Entertainment
netflix Rs 1000,Entertainment
college fee Rs 1000,Other
college fee Rs 5000,Other
gadget Rs 100,Shopping
books Rs 50,Other
water bill Rs 1000,Other
pizza Rs 5000,Food & Drinks
hospital bill Rs 2000,Healthcare
momo Rs 100,Food & Drinks
electricity bill Rs 500,Other
coffee Rs 5000,Food & Drinks
clothes Rs 5000,Shopping
freelance payment Rs 500,Salary/Income
taxi Rs 300,Transportation
pharmacy Rs 50,Healthcare
shoes Rs 50,Shopping
pharmacy Rs 100,Healthcare
salary credited Rs 5000,Salary/Income
water bill Rs 2000,Other
shoes Rs 5000,Shopping
college fee Rs 2000,Other
bonus Rs 50,Salary/Income
hospital bill Rs 50,Healthcare
daraz order Rs 2000,Shopping
salary credited Rs 50,Salary/Income
hospital bill Rs 5000,Healthcare
coffee Rs 1000,Food & Drinks
daraz order Rs 2000,Shopping
dal bhat Rs 100,Food & Drinks
shoes Rs 1000,Shopping
electronics Rs 50,Shopping
restaurant Rs 300,Food & Drinks
burger Rs 50,Food & Drinks
esewa payment Rs 200,Other
client payment Rs 50,Salary/Income
games Rs 300,Entertainment
esewa payment Rs 500,Other
movie ticket Rs 50,Entertainment
salary credited Rs 50,Salary/Income
netflix Rs 1000,Entertainment
course payment Rs 50,Other
pizza Rs 300,Food & Drinks
netflix Rs 300,Entertainment
coffee Rs 50,Food & Drinks
client payment Rs 1000,Salary/Income
salary credited Rs 2000,Salary/Income
hospital bill Rs 100,Healthcare
electronics Rs 5000,Shopping
pharmacy Rs 1000,Healthcare
esewa payment Rs 5000,Other
bonus Rs 1000,Salary/Income
course payment Rs 50,Other
fuel Rs 1000,Transportation
bus ticket Rs 500,Transportation
electricity bill Rs 500,Other
netflix Rs 100,Entertainment
salary credited Rs 2000,Salary/Income
doctor visit Rs 200,Healthcare
clothes Rs 200,Shopping
fuel Rs 2000,Transportation
dal bhat Rs 50,Food & Drinks
salary credited Rs 5000,Salary/Income
medicine Rs 300,Healthcare
pharmacy Rs 200,Healthcare
medicine Rs 500,Healthcare
bonus Rs 500,Salary/Income
bonus Rs 300,Salary/Income
spotify Rs 1000,Entertainment
burger Rs 5000,Food & Drinks
games Rs 2000,Entertainment
course payment Rs 300,Other
khalti payment Rs 100,Other
taxi Rs 50,Transportation
hospital bill Rs 2000,Healthcare
coffee Rs 1000,Food & Drinks
movie ticket Rs 300,Entertainment
daraz order Rs 1000,Shopping
pharmacy Rs 2000,Healthcare
course payment Rs 1000,Other
esewa payment Rs 50,Other
pharmacy Rs 5000,Healthcare
college fee Rs 300,Other
spotify Rs 500,Entertainment
esewa payment Rs 2000,Other
college fee Rs 2000,Other
course payment Rs 500,Other
daraz order Rs 2000,Shopping
medicine Rs 50,Healthcare
doctor visit Rs 100,Healthcare
books Rs 50,Other
netflix Rs 200,Entertainment
fuel Rs 300,Transportation
doctor visit Rs 300,Healthcare
books Rs 100,Other
electricity bill Rs 1000,Other
spotify Rs 300,Entertainment
gadget Rs 1000,Shopping
tuition Rs 300,Other
fuel Rs 2000,Transportation
electronics Rs 100,Shopping
bonus Rs 200,Salary/Income
daraz order Rs 100,Shopping
electronics Rs 2000,Shopping
spotify Rs 2000,Entertainment
dal bhat Rs 50,Food & Drinks
momo Rs 300,Food & Drinks
client payment Rs 50,Salary/Income
hospital bill Rs 5000,Healthcare
clothes Rs 5000,Shopping
salary credited Rs 50,Salary/Income
books Rs 100,Other
esewa payment Rs 2000,Other
freelance payment Rs 300,Salary/Income
course payment Rs 500,Other
tuition Rs 2000,Other
tuition Rs 500,Other
course payment Rs 5000,Other
salary credited Rs 50,Salary/Income
tuition Rs 300,Other
gadget Rs 50,Shopping
books Rs 300,Other
gadget Rs 100,Shopping
chowmein Rs 5000,Food & Drinks
coffee Rs 500,Food & Drinks
freelance payment Rs 500,Salary/Income
netflix Rs 1000,Entertainment
pizza Rs 500,Food & Drinks
shoes Rs 1000,Shopping
daraz order Rs 300,Shopping
pathao ride Rs 2000,Transportation
chowmein Rs 2000,Food & Drinks
chowmein Rs 1000,Food & Drinks
taxi Rs 500,Transportation
electronics Rs 100,Shopping
electricity bill Rs 200,Other
restaurant Rs 2000,Food & Drinks
movie ticket Rs 50,Entertainment
esewa payment Rs 200,Other
college fee Rs 300,Other
spotify Rs 500,Entertainment
freelance payment Rs 300,Salary/Income
bus ticket Rs 1000,Transportation
daraz order Rs 5000,Shopping
tuition Rs 5000,Other
tuition Rs 500,Other
freelance payment Rs 200,Salary/Income
college fee Rs 2000,Other
books Rs 200,Other
movie ticket Rs 300,Entertainment
college fee Rs 2000,Other
electricity bill Rs 200,Other
client payment Rs 2000,Salary/Income
medicine Rs 300,Healthcare
burger Rs 5000,Food & Drinks
bonus Rs 500,Salary/Income
tuition Rs 200,Other
doctor visit Rs 300,Healthcare
salary credited Rs 5000,Salary/Income
daraz order Rs 100,Shopping
indrive Rs 100,Transportation
